BEDS Code,School Name,Local School Code,School Type,Lowest Grade,Highest Grade,Does this school serve its full planned grade span? (Y/N),"If no, is this school opening this school year? (Y/N)",Is the school scheduled to close? (Y/N),"If so, what year?",K-12 Enrollment,"Pre-K
Enrollment",Preschool Special Ed Enrollment,"K-12
FRPL
Count","K-12
ELL 
Count","K-12
SWD
Count",Classroom Teachers w/ 0-3 Years Experience,Classroom Teachers w/ More than 3 Years Experience,"Para-
professional Classroom Staff",Principals & Other Admin Staff,Pupil Support Services Staff,All Remaining Staff,Total Staff,Total Classroom Teachers,Total Non Teaching Staff
300000000002,Pre-K Center District 02,02MP02,Pre-K Only,Pre-K,Pre-K,Yes,,No,,0,425,35,0,0,0,8.0,59.0,42.7,3.0,3.6,4.1,120.4,67.0,53.4
300000000007,Pre-K Center District 07,07XP07,Pre-K Only,Pre-K,Pre-K,Yes,,No,,0,236,22,0,0,0,10.9,24.0,22.6,2.0,2.7,1.0,63.2,34.9,28.3
300000000009,Pre-K Center District 09,09XP09,Pre-K Only,Pre-K,Pre-K,Yes,,No,,0,133,12,0,0,0,3.0,15.0,10.0,1.0,1.8,2.0,32.8,18.0,14.8
300000000010,Pre-K Center District 10,10XP10,Pre-K Only,Pre-K,Pre-K,Yes,,No,,0,300,20,0,0,0,6.0,53.0,45.7,2.0,8.1,1.0,115.8,59.0,56.8
300000000012,Pre-K Center District 12,12XP12,Pre-K Only,Pre-K,Pre-K,Yes,,No,,0,102,9,0,0,0,8.0,8.0,12.7,1.0,0.0,1.0,30.7,16.0,14.7
300000000013,Pre-K Center District 13,13KP13,Pre-K Only,Pre-K,Pre-K,Yes,,No,,0,56,5,0,0,0,0.0,5.0,2.0,1.0,0.0,1.0,9.0,5.0,4.0
300000000015,Pre-K Center District 15,15KP15,Pre-K Only,Pre-K,Pre-K,Yes,,No,,0,128,12,0,0,0,3.0,24.0,22.0,1.0,3.6,1.0,54.6,27.0,27.6
300000000020,Pre-K Center District 20,20KP20,Pre-K Only,Pre-K,Pre-K,Yes,,No,,0,"1,100",90,0,0,0,24.0,122.0,107.9,5.0,9.4,2.5,270.8,146.0,124.8
300000000021,Pre-K Center District 21,21KP21,Pre-K Only,Pre-K,Pre-K,Yes,,No,,0,241,15,0,0,0,5.0,38.0,34.4,2.0,2.7,1.5,83.6,43.0,40.6
300000000022,Pre-K Center District 22,22KP22,Pre-K Only,Pre-K,Pre-K,Yes,,No,,0,250,15,0,0,0,8.0,41.0,40.6,3.0,6.3,2.0,100.9,49.0,51.9
300000000024,Pre-K Center District 24,24QP24,Pre-K Only,Pre-K,Pre-K,Yes,,No,,0,850,70,0,0,0,16.0,113.0,105.0,7.0,15.3,3.0,259.3,129.0,130.3
300000000025,Pre-K Center District 25,25QP25,Pre-K Only,Pre-K,Pre-K,Yes,,No,,0,165,15,0,0,0,5.0,22.0,20.3,1.7,2.7,1.0,52.7,27.0,25.7
300000000027,Pre-K Center District 27,27QP27,Pre-K Only,Pre-K,Pre-K,Yes,,No,,0,650,60,0,0,0,3.0,84.0,78.8,3.0,3.6,2.0,174.4,87.0,87.4
300000000028,Pre-K Center District 28,28QP28,Pre-K Only,Pre-K,Pre-K,Yes,,No,,0,179,16,0,0,0,3.0,21.0,18.8,1.0,0.0,1.0,44.8,24.0,20.8
300000000029,Pre-K Center District 29,29QP29,Pre-K Only,Pre-K,Pre-K,Yes,,No,,0,233,21,0,0,0,14.0,26.0,31.6,2.0,5.4,3.2,82.2,40.0,42.2
300000000030,Pre-K Center District 30,30QP30,Pre-K Only,Pre-K,Pre-K,Yes,,No,,0,302,27,0,0,0,1.0,32.0,27.0,2.0,0.0,1.0,63.0,33.0,30.0
300000000031,Pre-K Center District 31,31RP31,Pre-K Only,Pre-K,Pre-K,Yes,,No,,0,900,75,0,0,0,28.0,94.0,112.8,5.0,9.1,3.0,251.9,122.0,129.9
300000000033,Pathways to Graduation,79Q950,Senior High School,9,12,Yes,,No,,"1,672",0,0,"1,202",619,484,8.0,210.0,47.6,72.5,20.0,83.8,441.9,218.0,223.9
300000000035,Restart Academy,79M973,Senior High School,6,12,Yes,,No,,339,0,0,305,57,156,3.0,43.0,18.8,16.0,6.4,23.0,110.2,46.0,64.2
300000000036,YABC Programs – Brooklyn and Queens,79K925,NYC - YABC,NYC - YABC,NYC - YABC,Yes,,No,,"1,014",0,0,788,183,299,0.0,35.0,0.0,3.0,14.0,6.1,58.1,35.0,23.1
300000000037,"YABC Programs – Manhattan, Bronx, Staten Island",79M379,NYC - YABC,NYC - YABC,NYC - YABC,Yes,,No,,633,0,0,535,74,246,0.0,30.0,3.1,6.0,12.0,5.0,56.1,30.0,26.1
307500010000,Home Instruction,97M501,NYC - District 75,NYC - District 75,NYC - District 75,Yes,,No,,167,0,0,167,42,127,16.0,274.0,11.2,5.9,13.0,11.0,331.1,290.0,41.1
307500011035,P.S. 035,97M035,NYC - District 75,K,12,Yes,,No,,198,0,0,198,8,198,6.0,55.0,32.9,3.0,6.0,4.5,107.4,61.0,46.4
307500011079,P.S. M079 - Horan School,97M079,NYC - District 75,6,12,Yes,,No,,249,0,0,249,82,249,19.0,37.0,65.0,4.0,14.3,3.0,142.3,56.0,86.3
307500011094,P.S. M094,97M094,NYC - District 75,K,12,Yes,,No,,390,0,0,390,74,390,16.0,92.0,137.9,4.0,23.9,4.0,277.8,108.0,169.8
307500011138,P.S. 138,97M138,NYC - District 75,Pre-K,12,Yes,,No,,694,0,24,694,167,694,42.4,119.0,242.6,7.0,46.3,6.0,463.3,161.4,301.9
307500011169,P.S. M169 - Robert F. Kennedy,97M169,NYC - District 75,K,12,Yes,,No,,313,0,0,313,24,313,15.0,63.0,81.9,4.5,20.0,4.9,189.3,78.0,111.3
307500011226,P.S. M226,97M226,NYC - District 75,Pre-K,12,Yes,,No,,261,0,24,261,46,261,13.0,62.0,82.5,3.0,13.9,4.7,179.1,75.0,104.1
307500011401,Hospital Schools,97M401,NYC - District 75,NYC - District 75,NYC - District 75,Yes,,No,,84,0,0,84,6,34,1.0,72.0,13.0,3.0,3.0,7.0,99.0,73.0,26.0
307500011721,P.S. M721 - Manhattan Occupational Training Center,97M721,NYC - District 75,6,12,Yes,,No,,213,0,0,213,80,213,7.7,38.0,71.9,2.0,11.2,5.2,136.0,45.7,90.3
307500011751,Manhattan School for Career Development,97M751,NYC - District 75,6,12,Yes,,No,,216,0,0,216,45,216,17.0,24.0,52.9,2.7,7.7,4.0,108.3,41.0,67.3
307500011811,P.S. M811 - Mickey Mantle School,97M811,NYC - District 75,Pre-K,11,Yes,,No,,479,0,47,479,66,479,34.7,81.0,129.9,5.0,27.2,4.0,281.8,115.7,166.1
307500012010,P.S. X010,97X010,NYC - District 75,Pre-K,12,Yes,,No,,687,0,7,687,198,687,59.0,108.7,187.7,8.0,38.1,4.9,406.4,167.7,238.7
307500012012,P.S. X012 Lewis and Clark School,97X012,NYC - District 75,6,12,Yes,,No,,264,0,0,264,81,264,25.0,43.0,76.9,4.0,8.5,5.0,162.4,68.0,94.4
307500012017,P.S. X017,97X017,NYC - District 75,K,12,Yes,,No,,544,0,0,544,99,544,42.2,103.0,144.6,4.2,16.8,4.0,314.8,145.2,169.6
307500012168,P.S. 168,97X168,NYC - District 75,Pre-K,12,Yes,,No,,586,0,15,586,142,486,36.0,107.0,143.9,6.0,25.8,4.0,322.7,143.0,179.7
307500012176,P.S. X176,97X176,NYC - District 75,6,12,Yes,,No,,523,0,0,523,69,523,28.0,107.0,173.9,6.0,16.6,5.8,337.3,135.0,202.3
307500012186,P186X Walter J. Damrosch School,97X186,NYC - District 75,K,8,Yes,,No,,645,0,0,645,219,645,29.0,118.0,219.0,6.0,38.1,9.0,419.1,147.0,272.1
307500012188,P.S. X188,97X188,NYC - District 75,Pre-K,12,Yes,,No,,553,0,24,553,154,553,27.0,102.0,97.9,6.5,24.0,4.0,261.4,129.0,132.4
307500012352,The Vida Bogart School for All Children,97X352,NYC - District 75,Pre-K,8,Yes,,No,,518,0,12,518,81,518,8.0,113.0,130.8,6.0,22.0,4.0,283.8,121.0,162.8
307500012469,P469X - The Bronx School for Continuous Learners,97X469,NYC - District 75,K,10,Yes,,No,,663,0,0,663,125,663,43.0,83.0,79.9,7.0,16.5,2.0,231.4,126.0,105.4
307500012596,P.S. X596,97X596,NYC - District 75,Pre-K,8,Yes,,No,,373,0,23,373,54,373,13.2,90.0,140.7,5.3,23.7,5.9,278.8,103.2,175.6
307500012721,P.S. X721 - Stephen McSweeney School,97X721,NYC - District 75,9,12,Yes,,No,,509,0,0,509,193,509,15.0,91.0,174.0,6.0,15.0,4.0,305.0,106.0,199.0
307500012723,P.S. 723,97X723,NYC - District 75,K,12,Yes,,No,,419,0,0,419,44,419,17.0,87.0,129.9,5.5,17.4,6.0,262.8,104.0,158.8
307500012754,J. M. Rapport School Career Development,97X754,NYC - District 75,9,12,Yes,,No,,386,0,0,386,106,386,9.0,58.0,76.0,5.0,10.8,4.0,162.8,67.0,95.8
307500012811,P.S. X811,97X811,NYC - District 75,6,12,Yes,,No,,530,0,0,530,203,530,15.0,115.0,203.5,7.0,24.7,6.9,372.1,130.0,242.1
307500013004,P.S. K004,97K004,NYC - District 75,Pre-K,5,Yes,,No,,446,0,24,446,131,446,33.0,80.0,93.0,6.0,25.5,3.0,240.5,113.0,127.5
307500013036,P.S. 36,97K036,NYC - District 75,Pre-K,12,Yes,,No,,376,0,6,376,45,376,32.0,80.0,135.0,5.0,25.1,4.0,281.1,112.0,169.1
307500013053,P.S. K053,97K053,NYC - District 75,K,12,Yes,,No,,416,0,0,416,119,416,18.0,71.0,114.0,6.2,24.8,3.8,237.8,89.0,148.8
307500013077,P.S. K077,97K077,NYC - District 75,K,12,Yes,,No,,285,0,0,285,91,285,20.0,61.0,78.9,4.0,18.4,5.0,187.3,81.0,106.3
307500013140,P.S. K140,97K140,NYC - District 75,K,10,Yes,,No,,334,0,0,334,34,334,16.0,61.0,90.0,6.0,17.7,4.0,194.7,77.0,117.7
307500013141,P.S. K141,97K141,NYC - District 75,Pre-K,12,Yes,,No,,404,0,24,404,93,404,18.0,75.0,93.8,5.0,20.0,4.0,215.8,93.0,122.8
307500013231,P.S. K231,97K231,NYC - District 75,K,8,Yes,,No,,277,0,0,277,104,277,16.0,71.0,114.0,5.7,22.0,5.4,234.1,87.0,147.1
307500013368,P.S. 368,97K368,NYC - District 75,Pre-K,12,Yes,,No,,211,0,7,211,22,211,11.0,51.0,71.0,4.0,14.1,5.0,156.1,62.0,94.1
307500013369,P.S. K369 - Coy L. Cox School,97K369,NYC - District 75,K,12,Yes,,No,,474,0,0,474,89,474,16.0,111.0,154.8,6.2,27.0,5.0,320.0,127.0,193.0
307500013370,P.S. 370,97K370,NYC - District 75,K,12,Yes,,No,,221,0,0,221,68,221,16.0,47.0,77.7,4.0,11.2,5.0,160.9,63.0,97.9
307500013371,P.S. 371 - Lillian L. Rashkis,97K371,NYC - District 75,9,12,Yes,,No,,192,0,0,192,53,192,4.0,40.0,60.9,3.0,8.5,4.7,121.1,44.0,77.1
307500013372,P.S. 372 -The Children's School,97K372,NYC - District 75,K,8,Yes,,No,,408,28,3,214,13,202,11.0,65.0,55.0,4.0,13.1,6.0,154.1,76.0,78.1
307500013373,P.S. 373 - Brooklyn Transition Center,97K373,NYC - District 75,9,12,Yes,,No,,414,0,0,414,91,414,29.0,56.0,102.7,5.0,13.4,4.8,210.9,85.0,125.9
307500013396,Sid Miller Academy,97K396,NYC - District 75,K,8,Yes,,No,,502,0,0,502,94,502,33.0,87.0,172.7,3.2,33.1,6.0,335.0,120.0,215.0
307500013721,P.S. K721 - Brooklyn Occupational Training Center,97K721,NYC - District 75,K,12,Yes,,No,,401,0,0,401,127,401,17.0,75.0,112.0,5.0,13.7,5.0,227.7,92.0,135.7
307500013753,P.S. K753 - School for Career Development,97K753,NYC - District 75,6,12,Yes,,No,,353,0,0,353,56,353,37.6,49.0,80.4,4.0,9.7,4.0,184.7,86.6,98.1
307500013771,P.S. K771,97K771,NYC - District 75,K,12,Yes,,No,,512,0,0,512,137,512,20.0,110.0,188.6,6.5,30.2,4.5,359.8,130.0,229.8
307500013811,P.S. K811 Connie Lekas School,97K811,NYC - District 75,6,12,Yes,,No,,274,0,0,274,79,274,8.0,55.0,126.0,4.0,17.4,4.0,214.4,63.0,151.4
307500014004,P.S. Q004,97Q004,NYC - District 75,Pre-K,8,Yes,,No,,519,0,25,519,80,519,28.6,114.0,144.5,6.0,32.8,4.0,329.9,142.6,187.3
307500014009,P.S. 009,97Q009,NYC - District 75,K,8,Yes,,No,,650,0,0,650,220,650,27.0,124.0,182.8,6.7,41.4,6.5,388.4,151.0,237.4
307500014023,P.S. Q023 @ Queens Children Center,97Q023,NYC - District 75,K,12,Yes,,No,,247,0,0,247,14,247,5.0,53.0,58.9,4.2,6.5,6.0,133.6,58.0,75.6
307500014075,Robert E. Peary School,97Q075,NYC - District 75,Pre-K,8,Yes,,No,,583,0,12,583,157,583,19.0,120.0,165.0,6.0,33.9,7.0,350.9,139.0,211.9
307500014177,P.S. Q177,97Q177,NYC - District 75,K,12,Yes,,No,,469,0,0,469,139,469,17.0,104.0,157.7,5.2,27.6,4.0,315.5,121.0,194.5
307500014224,P.S. Q224,97Q224,NYC - District 75,Pre-K,8,Yes,,No,,412,0,67,412,114,412,18.0,95.0,114.4,5.2,29.7,3.9,266.2,113.0,153.2
307500014233,P.S. Q233,97Q233,NYC - District 75,K,12,Yes,,No,,489,0,0,489,140,489,15.5,108.0,171.6,6.0,27.3,4.0,332.4,123.5,208.9
