BEDS Code,School Name,Local School Code,Weighted Register Allocation,Weighted Register Allocation If Local Formula Fully Funded,Weighted Register Allocation Gap to 100%,% Funded,"Foundation 
(not included in the funding %)",Collective Bargaining for School Based Staff (not included in the funding %),Total FSF Allocation Including Foundation and Collective Bargaining Costs,Total FSF Allocation at 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total FSF Allocation Gap to 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total Funding (See Part C),Local Formula as % of Total Funding,Other Funding
310100010015,P.S. 015 Roberto Clemente,01M015,"$1,503,159.00","$1,503,159.00",$0.00,100.00%,"$338,081.00","$459,374.00","$2,300,613.00","$2,300,613.00",$0.00,"$5,649,361.00",40.72%,"$3,348,748.00"
310100010020,P.S. 020 Anna Silver,01M020,"$2,549,139.00","$2,549,139.00",$0.00,100.00%,"$338,081.00","$765,419.00","$3,652,639.00","$3,652,639.00",$0.00,"$7,722,038.00",47.30%,"$4,069,399.00"
310100010034,P.S. 034 Franklin D. Roosevelt,01M034,"$2,409,417.00","$2,409,417.00",$0.00,100.00%,"$338,081.00","$733,622.00","$3,481,119.00","$3,481,119.00",$0.00,"$7,073,731.00",49.21%,"$3,592,612.00"
310100010063,The STAR Academy - P.S.63,01M063,"$1,299,921.00","$1,299,921.00",$0.00,100.00%,"$338,081.00","$475,445.00","$2,113,447.00","$2,113,447.00",$0.00,"$4,948,937.00",42.71%,"$2,835,490.00"
310100010064,P.S. 064 Robert Simon,01M064,"$1,635,746.00","$1,635,746.00",$0.00,100.00%,"$338,081.00","$553,077.00","$2,526,904.00","$2,526,904.00",$0.00,"$5,364,184.00",47.11%,"$2,837,280.00"
310100010110,P.S. 110 Florence Nightingale,01M110,"$2,303,206.00","$2,303,206.00",$0.00,100.00%,"$338,081.00","$680,872.00","$3,322,159.00","$3,322,159.00",$0.00,"$5,653,174.00",58.77%,"$2,331,015.00"
310100010134,P.S. 134 Henrietta Szold,01M134,"$1,584,548.00","$1,584,548.00",$0.00,100.00%,"$338,081.00","$544,385.00","$2,467,014.00","$2,467,014.00",$0.00,"$6,063,765.00",40.68%,"$3,596,751.00"
310100010140,P.S. 140 Nathan Straus,01M140,"$3,598,546.00","$3,598,546.00",$0.00,100.00%,"$338,081.00","$1,053,761.00","$4,990,388.00","$4,990,388.00",$0.00,"$8,808,787.00",56.65%,"$3,818,399.00"
310100010142,P.S. 142 Amalia Castro,01M142,"$2,360,491.00","$2,360,491.00",$0.00,100.00%,"$338,081.00","$816,572.00","$3,515,144.00","$3,515,144.00",$0.00,"$8,628,638.00",40.74%,"$5,113,494.00"
310100010184,P.S. 184M Shuang Wen,01M184,"$5,758,139.00","$5,758,139.00",$0.00,100.00%,"$338,081.00","$1,683,589.00","$7,779,809.00","$7,779,809.00",$0.00,"$11,933,628.00",65.19%,"$4,153,819.00"
