Number Tested,Mean Scale Score
17057,459.88291139240505
11024,422.003663003663
3849,352.265306122449
47214,416.74242424242425
13029,436.1640625
27366,409.15425531914894
17340,450.3584474885845
20415,404.67892156862746
22906,392.7966573816156
16663,406.1190476190476
56827,417.4348739495798
15888,445.3682634730539
21228,424.10271317829455
13800,435.5029239766082
73055,414.0147058823529
17421,409.1242937853107
16491,416.840625
25766,413.21410579345087
15583,450.01851851851853
12433,435.53205128205127
45589,441.46188340807174
14895,417.7040816326531
27316,409.2608695652174
6320,542.9172413793103
34373,436.4430693069307
4540,534.5268817204301
5643,429.49528301886795
26478,396.7574931880109
22461,423.85350318471336
23210,414.3333333333333
5000,543.5769230769231
16689,391.72615384615386
35594,406.98861047835993
13661,426.42774566473986
19613,410.2701149425287
13301,408.91950464396285
32020,415.3883495145631
24285,424.85911602209944
25090,410.8874680306905
36704,403.1316455696203
20298,449.3173076923077
7857,429.86764705882354
4899,432.49056603773585
9787,402.5342960288809
5732,434.97435897435895
6576,446.05913978494624
6638,489.56666666666666
24790,471.8336886993603
18087,482.73160173160176
22401,422.8961352657005
8787,403.45531914893616
577,514.5283018867924
50731,402.1716937354988
1726,406.6307692307692
10159,457.3097826086956
29734,433.547263681592
6032,407.8287037037037
22772,420.46685878962535
11357,463.4710144927536
34931,409.16379310344826
11696,538.008064516129
23167,444.04358974358973
17559,417.7977528089888
23303,418.1907356948229
15774,385.0721003134796
34707,408.52957746478876
28343,415.524064171123
6938,483.71627906976744
43972,428.66750629722924
13752,407.8833333333333
19182,407.44514106583074
41254,444.2955326460481
41007,413.9787798408488
19319,407.06535947712416
21380,420.32323232323233
12089,439.45583038869256
6847,528.693641618497
5043,415.83673469387753
7407,389.0234375
21578,405.18950437317784
14430,409.11698113207547
15460,406.31140350877195
18300,406.3231939163498
9303,425.64976958525347
2996,403.92857142857144
20767,414.04046242774564
7896,528.9825581395348
21982,404.69054441260744
19702,421.3757396449704
22653,410.3855072463768
21033,419.48984771573606
9398,487.29411764705884
41562,450.2979797979798
27712,424.33910891089107
16004,400.94736842105266
11582,397.1615120274914
16072,403.0377358490566
5900,415.4939024390244
8324,529.3377483443709
26509,407.11709601873537
16535,404.02285714285716
26681,410.4297520661157
7133,441.717277486911
23433,407.90288713910763
19652,401.6831955922865
2507,550.4864864864865
25626,402.72067039106145
4455,399.840206185567
19671,409.8
26013,418.0914285714286
20748,423.764192139738
15627,413.4845679012346
15995,463.5684210526316
6624,370.07650273224044
31218,389.454802259887
27471,447.1970588235294
21103,440.94666666666666
18787,463.3937282229965
15512,413.5920245398773
29558,448.2768817204301
674,515.5263157894736
28353,425.34966592427617
117928,437.9280742459397
78823,421.3311965811966
128777,423.40879120879123
89790,430.3318965517241
101643,417.70539419087135
106981,432.85885167464113
121987,411.96975806451616
53311,414.4625
219144,411.06223175965664
105459,414.92638036809814
42263,402.1270207852194
134709,423.21516393442624
137535,436.1509009009009
108545,420.5827956989247
63251,416.11663066954645
48234,393.818407960199
142065,420.1711899791232
39599,406.0687203791469
113839,430.63232323232324
179989,418.66379310344826
45344,403.8809523809524
82014,425.6901098901099
48379,410.1111111111111
49144,417.0521739130435
21394,394.73936170212767
47742,412.4347826086956
26494,386.64542936288086
144586,432.2828282828283
126809,422.11041666666665
18977,389.36647727272725
111620,425.55
40047,400.47727272727275
120725,420.4
134841,407.88385826771656
33160,412.54430379746833
43436,404.007299270073
117209,421.8692946058091
69928,415.11052631578946
26260,436.33414043583537
49876,421.48268398268397
24941,391.4573002754821
119417,422.57894736842104
39450,397.4447300771208
16635,436.52721088435374
27222,401.2457627118644
27886,411.00293255131965
28676,408.4645892351275
24662,437.98746081504703
67165,405.58297872340427
168038,427.02991452991455
15644,410.2691029900332
8523,556.0748299319728
189094,423.94408602150537
137816,445.20489977728283
91004,422.94780793319416
22983,403.090625
23492,396.6040462427746
44327,408.8390022675737
2360,397.731884057971
9957,399.5665236051502
93432,434.10493827160496
22568,411.96153846153845
40248,404.0620842572062
47498,411.39702760084924
38116,398.4173228346457
22841,410.2445652173913
80091,439.8775055679287
93730,422.66738197424894
90512,439.75
105336,435.0679012345679
64027,409.91051454138704
60913,404.09263157894736
113079,426.00619834710744
17321,403.1768292682927
97436,429.3118503118503
103379,417.45283018867923
38082,410.89756097560974
77043,418.07510729613733
49788,407.52487562189054
25212,395.9356725146199
51168,416.84057971014494
140080,428.17670682730926
36259,404.335
123853,431.0635245901639
147216,426.62893081761007
