School Name,Number Tested,Mean Scale Score
A.C.E. ACADEMY FOR SCHOLARS AT THE GERALDINE FERRA,17371,460.31481481481484
ACADEMIC LEADERSHIP CHARTER SCHOOL,3478,426.15384615384613
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORA,11019,416.4981818181818
ACADEMY FOR NEW AMERICANS,13867,391.55823293172693
ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,48644,409.5388471177945
ACADEMY FOR YOUNG WRITERS,12696,419.9133858267717
ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,25739,413.18279569892474
ACADEMY OF ARTS AND LETTERS,17508,441.4324942791762
ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCH,17945,398.5736842105263
ACADEMY OF PUBLIC RELATIONS,22673,382.75141242937855
ACADEMY OF THE CITY CHARTER SCHOOL,1972,426.42857142857144
ACCION ACADEMY,17473,401.7573099415205
ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,4810,440.79411764705884
ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,1816,508.2857142857143
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,6212,411.3953488372093
ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,7776,413.6530612244898
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,7328,402.0408163265306
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,6158,406.38775510204084
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,6724,410.7173913043478
ACHIEVEMENT FIRST LINDEN ELEMENTARY SCHOOL,1080,546.2222222222222
ACHIEVEMENT FIRST NORTH BROOKLYN PREP CHARTER SCHO,1008,555.5555555555555
ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL,824,538.0
ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING AR,55244,415.4304068522484
ALL CITY LEADERSHIP SECONDARY SCHOOL,10735,446.1411764705882
AMBER CHARTER SCHOOL,2746,396.4642857142857
AMBER CHARTER SCHOOL II,78,617.0
AMERICAN DREAM CHARTER SCHOOL,1954,438.94117647058823
AMISTAD DUAL LANGUAGE SCHOOL,22260,423.28735632183907
AMPARK NEIGHBORHOOD,13866,434.6413994169096
ANDRIES HUDDE,74194,410.8127659574468
ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOA,17052,394.7485549132948
ARCHER ELEMENTARY SCHOOL,16952,414.679012345679
"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOG",24656,404.55754475703327
ATMOSPHERE CHARTER SCHOOL,2392,477.53846153846155
BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,8607,451.1373626373626
"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",11124,437.33806146572107
BATTERY PARK CITY SCHOOL,42213,434.4519230769231
BAYCHESTER ACADEMY,15478,430.8355263157895
BAYCHESTER MIDDLE SCHOOL,27307,410.4331550802139
BEDFORD PARK ELEMENTARY SCHOOL,6880,538.64
BEDFORD STUYVESANT COLLEGIATE CHARTER SCHOOL,3624,391.3666666666667
BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL,4586,394.72093023255815
BEGINNING WITH CHILDREN CHARTER SCHOOL II,1448,480.6
BELL ACADEMY,22871,416.46894409937886
BOYS PREPARATORY CHARTER SCHOOL OF NEW YORK,518,538.5555555555555
BRIDGES: A SCHOOL FOR EXPLORATION AND EQUITY,2886,523.5641025641025
BRIGHTER CHOICE COMMUNITY SCHOOL,5902,425.7260273972603
BRILLA COLLEGE PREP CHARTER SCHOOL,1606,504.2142857142857
BRONX ACADEMY FOR MULTI-MEDIA,27950,390.71117166212537
BRONX ACADEMY OF PROMISE CHARTER SCHOOL,5014,398.69565217391306
BRONX ALLIANCE MIDDLE SCHOOL,22991,417.45911949685535
BRONX CHARTER SCHOOL FOR BETTER LEARNING,3050,404.64285714285717
BRONX CHARTER SCHOOL FOR BETTER LEARNING II,150,606.0
BRONX CHARTER SCHOOL FOR CHILDREN,2896,385.17857142857144
BRONX CHARTER SCHOOL FOR EXCELLENCE,6288,407.8775510204082
BRONX CHARTER SCHOOL FOR EXCELLENCE II,118,617.0
BRONX CHARTER SCHOOL FOR THE ARTS,2254,405.0344827586207
BRONX COMMUNITY CHARTER SCHOOL,3112,411.6756756756757
BRONX DANCE ACADEMY SCHOOL,21701,411.5567867036011
BRONX DELTA SCHOOL,5188,550.1838235294117
BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNIN,14592,367.82685512367493
BRONX GLOBAL LEARNING INSTITUTE FOR GIRLS CHARTER,3196,400.27906976744185
BRONX GREEN MIDDLE SCHOOL,31346,402.3884892086331
BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,13294,424.6374269005848
BRONX LATIN,14018,395.37722419928826
BRONX LIGHTHOUSE CHARTER SCHOOL,3980,378.6875
BRONX LITTLE SCHOOL,13744,409.9134328358209
BRONX PARK MIDDLE SCHOOL,32632,410.4168674698795
BRONX PREPARATORY CHARTER SCHOOL,4866,377.38709677419354
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",21121,407.1547987616099
BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,24919,405.0946291560102
BRONX WRITING ACADEMY,38248,401.09022556390977
BROOKLYN ARBOR ELEMENTARY SCHOOL,20793,448.43302180685356
BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,8012,424.2014388489209
BROOKLYN ASCEND CHARTER SCHOOL,7866,388.29545454545456
BROOKLYN BROWNSTONE SCHOOL,4780,425.4454976303318
BROOKLYN CHARTER SCHOOL,1458,392.92857142857144
