School Name,Number Tested,Mean Scale Score
A.C.E. ACADEMY FOR SCHOLARS AT THE GERALDINE FERRA,17057,459.88291139240505
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORA,11024,422.003663003663
ACADEMY FOR NEW AMERICANS,3849,352.265306122449
ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,47214,416.74242424242425
ACADEMY FOR YOUNG WRITERS,13029,436.1640625
ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,27366,409.15425531914894
ACADEMY OF ARTS AND LETTERS,17340,450.3584474885845
ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCH,20415,404.67892156862746
ACADEMY OF PUBLIC RELATIONS,22906,392.7966573816156
ACCION ACADEMY,16663,406.1190476190476
ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING AR,56827,417.4348739495798
ALL CITY LEADERSHIP SECONDARY SCHOOL,15888,445.3682634730539
AMISTAD DUAL LANGUAGE SCHOOL,21228,424.10271317829455
AMPARK NEIGHBORHOOD,13800,435.5029239766082
ANDRIES HUDDE,73055,414.0147058823529
ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOA,17421,409.1242937853107
ARCHER ELEMENTARY SCHOOL,16491,416.840625
"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOG",25766,413.21410579345087
BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,15583,450.01851851851853
"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",12433,435.53205128205127
BATTERY PARK CITY SCHOOL,45589,441.46188340807174
BAYCHESTER ACADEMY,14895,417.7040816326531
BAYCHESTER MIDDLE SCHOOL,27316,409.2608695652174
BEDFORD PARK ELEMENTARY SCHOOL,6320,542.9172413793103
BELL ACADEMY,34373,436.4430693069307
BRIDGES: A SCHOOL FOR EXPLORATION AND EQUITY,4540,534.5268817204301
BRIGHTER CHOICE COMMUNITY SCHOOL,5643,429.49528301886795
BRONX ACADEMY FOR MULTI-MEDIA,26478,396.7574931880109
BRONX ALLIANCE MIDDLE SCHOOL,22461,423.85350318471336
BRONX DANCE ACADEMY SCHOOL,23210,414.3333333333333
BRONX DELTA SCHOOL,5000,543.5769230769231
BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNIN,16689,391.72615384615386
BRONX GREEN MIDDLE SCHOOL,35594,406.98861047835993
BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,13661,426.42774566473986
BRONX LATIN,19613,410.2701149425287
BRONX LITTLE SCHOOL,13301,408.91950464396285
BRONX PARK MIDDLE SCHOOL,32020,415.3883495145631
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",24285,424.85911602209944
BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,25090,410.8874680306905
BRONX WRITING ACADEMY,36704,403.1316455696203
BROOKLYN ARBOR ELEMENTARY SCHOOL,20298,449.3173076923077
BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,7857,429.86764705882354
BROOKLYN BROWNSTONE SCHOOL,4899,432.49056603773585
BROOKLYN COLLABORATIVE STUDIES,9787,402.5342960288809
BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES),5732,434.97435897435895
BROOKLYN GARDENS ELEMENTARY SCHOOL,6576,446.05913978494624
BROOKLYN LANDMARK ELEMENTARY SCHOOL,6638,489.56666666666666
BROOKLYN SCHOOL OF INQUIRY,24790,471.8336886993603
BROOKLYN SCIENCE AND ENGINEERING ACADEMY,18087,482.73160173160176
BROOKLYN STUDIO SECONDARY SCHOOL,22401,422.8961352657005
BROWNSVILLE COLLABORATIVE MIDDLE SCHOOL,8787,403.45531914893616
CASTLE BRIDGE SCHOOL,577,514.5283018867924
CATHERINE & COUNT BASIE MIDDLE SCHOOL 72,50731,402.1716937354988
CENTRAL PARK EAST I,1726,406.6307692307692
CENTRAL PARK EAST II,10159,457.3097826086956
CHANNEL VIEW SCHOOL FOR RESEARCH,29734,433.547263681592
CHRISTOPHER AVENUE COMMUNITY SCHOOL,6032,407.8287037037037
CITY COLLEGE ACADEMY OF THE ARTS,22772,420.46685878962535
CITY KNOLL MIDDLE SCHOOL,11357,463.4710144927536
COLLABORATIVE ARTS MIDDLE SCHOOL,34931,409.16379310344826
COLLEGE POINT COLLABORATIVE,11696,538.008064516129
COLUMBIA SECONDARY SCHOOL,23167,444.04358974358973
COMMUNITY ACTION SCHOOL - MS 258,17559,417.7977528089888
COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,23303,418.1907356948229
COMMUNITY MATH & SCIENCE PREP,15774,385.0721003134796
COMMUNITY VOICES MIDDLE SCHOOL,34707,408.52957746478876
COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,28343,415.524064171123
CONCOURSE VILLAGE ELEMENTARY SCHOOL,6938,483.71627906976744
CONSELYEA PREPARATORY SCHOOL,43972,428.66750629722924
CORNERSTONE ACADEMY FOR SOCIAL ACTION,13752,407.8833333333333
CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOO,19182,407.44514106583074
CORONA ARTS & SCIENCES ACADEMY,41254,444.2955326460481
CRESTON ACADEMY,41007,413.9787798408488
CYNTHIA JENKINS SCHOOL,19319,407.06535947712416
DAVID N. DINKINS SCHOOL,21380,420.32323232323233
DOCK STREET SCHOOL FOR STEAM STUDIES,12089,439.45583038869256
DOS PUENTES ELEMENTARY SCHOOL,6847,528.693641618497
DR. JACQUELINE PEEK-DAVIS SCHOOL,5043,415.83673469387753
DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,7407,389.0234375
E.S.M.T- I.S. 190,21578,405.18950437317784
EAGLE ACADEMY FOR YOUNG MEN,14430,409.11698113207547
EAGLE ACADEMY FOR YOUNG MEN II,15460,406.31140350877195
EAGLE ACADEMY FOR YOUNG MEN III,18300,406.3231939163498
EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,9303,425.64976958525347
EARTH SCHOOL,2996,403.92857142857144
EAST BRONX ACADEMY FOR THE FUTURE,20767,414.04046242774564
EAST ELMHURST COMMUNITY SCHOOL,7896,528.9825581395348
EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,21982,404.69054441260744
EAST NEW YORK FAMILY ACADEMY,19702,421.3757396449704
EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,22653,410.3855072463768
EAST SIDE COMMUNITY SCHOOL,21033,419.48984771573606
"EAST SIDE ELEMENTARY SCHOOL, PS 267",9398,487.29411764705884
EAST SIDE MIDDLE SCHOOL,41562,450.2979797979798
EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,27712,424.33910891089107
EBBETS FIELD MIDDLE SCHOOL,16004,400.94736842105266
"ELEMENTARY SCHOOL FOR MATH, SCIENCE, AND TECHNOLOG",11582,397.1615120274914
ELIJAH STROUD MIDDLE SCHOOL,16072,403.0377358490566
ELLA BAKER SCHOOL,5900,415.4939024390244
ELM TREE ELEMENTARY SCHOOL,8324,529.3377483443709
EMOLIOR ACADEMY,26509,407.11709601873537
ESPERANZA PREPARATORY ACADEMY,16535,404.02285714285716
EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION,26681,410.4297520661157
FAIRMONT NEIGHBORHOOD SCHOOL,7133,441.717277486911
FANNIE LOU HAMER MIDDLE SCHOOL,23433,407.90288713910763
FORT GREENE PREPARATORY ACADEMY,19652,401.6831955922865
FORT HILL COLLABORATIVE ELEMENTARY SCHOOL,2507,550.4864864864865
FREDERICK DOUGLASS ACADEMY,25626,402.72067039106145
FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,4455,399.840206185567
FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,19671,409.8
FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,26013,418.0914285714286
GOLDIE MAPLE ACADEMY,20748,423.764192139738
GRANT AVENUE ELEMENTARY SCHOOL,15627,413.4845679012346
HAMILTON GRANGE MIDDLE SCHOOL,15995,463.5684210526316
HARBOR HEIGHTS,6624,370.07650273224044
HAROLD O. LEVY SCHOOL,31218,389.454802259887
HAWTREE CREEK MIDDLE SCHOOL,27471,447.1970588235294
HELEN M. MARSHALL SCHOOL,21103,440.94666666666666
HIGHLAND PARK COMMUNITY SCHOOL,18787,463.3937282229965
HOSTOS-LINCOLN ACADEMY OF SCIENCE,15512,413.5920245398773
HUNTERS POINT COMMUNITY MIDDLE SCHOOL,29558,448.2768817204301
HUNTERS POINT ELEMENTARY SCHOOL,674,515.5263157894736
I. S. 381,28353,425.34966592427617
I.S. 007 ELIAS BERNSTEIN,117928,437.9280742459397
I.S. 010 HORACE GREELEY,78823,421.3311965811966
I.S. 024 MYRA S. BARNES,128777,423.40879120879123
I.S. 025 ADRIEN BLOCK,89790,430.3318965517241
I.S. 027 ANNING S. PRALL,101643,417.70539419087135
I.S. 034 TOTTENVILLE,106981,432.85885167464113
I.S. 051 EDWIN MARKHAM,121987,411.96975806451616
I.S. 059 SPRINGFIELD GARDENS,53311,414.4625
I.S. 061 LEONARDO DA VINCI,219144,411.06223175965664
I.S. 061 WILLIAM A MORRIS,105459,414.92638036809814
I.S. 068 ISAAC BILDERSEE,42263,402.1270207852194
I.S. 072 ROCCO LAURIE,134709,423.21516393442624
I.S. 075 FRANK D. PAULO,137535,436.1509009009009
I.S. 093 RIDGEWOOD,108545,420.5827956989247
I.S. 096 SETH LOW,63251,416.11663066954645
I.S. 117 JOSEPH H. WADE,48234,393.818407960199
I.S. 125 THOM J. MCCANN WOODSIDE,142065,420.1711899791232
I.S. 136 CHARLES O. DEWEY,39599,406.0687203791469
I.S. 141 THE STEINWAY,113839,430.63232323232324
I.S. 145 JOSEPH PULITZER,179989,418.66379310344826
I.S. 171 ABRAHAM LINCOLN,45344,403.8809523809524
I.S. 181 PABLO CASALS,82014,425.6901098901099
I.S. 192 THE LINDEN,48379,410.1111111111111
I.S. 204 OLIVER W. HOLMES,49144,417.0521739130435
I.S. 206 ANN MERSEREAU,21394,394.73936170212767
I.S. 211 JOHN WILSON,47742,412.4347826086956
I.S. 219 NEW VENTURE SCHOOL,26494,386.64542936288086
I.S. 227 LOUIS ARMSTRONG,144586,432.2828282828283
I.S. 228 DAVID A. BOODY,126809,422.11041666666665
I.S. 229 ROLAND PATTERSON,18977,389.36647727272725
I.S. 230,111620,425.55
I.S. 232,40047,400.47727272727275
I.S. 237,120725,420.4
I.S. 238 - SUSAN B. ANTHONY ACADEMY,134841,407.88385826771656
I.S. 250 THE ROBERT F. KENNEDY COMMUNITY MIDDLE SC,33160,412.54430379746833
I.S. 254,43436,404.007299270073
I.S. 281 JOSEPH B CAVALLARO,117209,421.8692946058091
I.S. 285 MEYER LEVIN,69928,415.11052631578946
I.S. 289,26260,436.33414043583537
I.S. 303 HERBERT S. EISENBERG,49876,421.48268398268397
I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,24941,391.4573002754821
I.S. 318 EUGENIO MARIA DE HOSTOS,119417,422.57894736842104
I.S. 339,39450,397.4447300771208
I.S. 340,16635,436.52721088435374
I.S. 347 SCHOOL OF HUMANITIES,27222,401.2457627118644
"I.S. 349 MATH, SCIENCE & TECH.",27886,411.00293255131965
I.S. 364 GATEWAY,28676,408.4645892351275
I.S. 392,24662,437.98746081504703
I.S. 49 BERTA A. DREYFUS,67165,405.58297872340427
I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL,168038,427.02991452991455
I.S. 528 BEA FULLER RODGERS SCHOOL,15644,410.2691029900332
I.S. 584,8523,556.0748299319728
I.S. 73 - THE FRANK SANSIVIERI INTERMEDIATE SCHOOL,189094,423.94408602150537
I.S. 98 BAY ACADEMY,137816,445.20489977728283
I.S. R002 GEORGE L. EGBERT,91004,422.94780793319416
I.S. X303 LEADERSHIP & COMMUNITY SERVICE,22983,403.090625
"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",23492,396.6040462427746
IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),44327,408.8390022675737
INSTITUTE FOR COLLABORATIVE EDUCATION,2360,397.731884057971
INTERNATIONAL SCHOOL FOR LIBERAL ARTS,9957,399.5665236051502
