Part E - Locally Implemented Funding Formula,,,,,,,,,,,,,,
Are schools allocated a sizeable portion of their funding via a locally implemented formula?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
BEDS Code,School Name,Local School Code,Weighted Register Allocation,Weighted Register Allocation If Local Formula Fully Funded,Weighted Register Allocation Gap to 100%,% Funded,"Foundation 
(not included in the funding %)",Collective Bargaining for School Based Staff (not included in the funding %),Total FSF Allocation Including Foundation and Collective Bargaining Costs,Total FSF Allocation at 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total FSF Allocation Gap to 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total Funding (See Part C),Local Formula as % of Total Funding,Other Funding
310100010015,P.S. 015 Roberto Clemente,01M015,"$1,503,159","$1,503,159",$0,100.00%,"$338,081","$459,374","$2,300,613","$2,300,613",$0,"$5,649,361",40.72%,"$3,348,748"
310100010020,P.S. 020 Anna Silver,01M020,"$2,549,139","$2,549,139",$0,100.00%,"$338,081","$765,419","$3,652,639","$3,652,639",$0,"$7,722,038",47.30%,"$4,069,399"
310100010034,P.S. 034 Franklin D. Roosevelt,01M034,"$2,409,417","$2,409,417",$0,100.00%,"$338,081","$733,622","$3,481,119","$3,481,119",$0,"$7,073,731",49.21%,"$3,592,612"
310100010063,The STAR Academy - P.S.63,01M063,"$1,299,921","$1,299,921",$0,100.00%,"$338,081","$475,445","$2,113,447","$2,113,447",$0,"$4,948,937",42.71%,"$2,835,490"
310100010064,P.S. 064 Robert Simon,01M064,"$1,635,746","$1,635,746",$0,100.00%,"$338,081","$553,077","$2,526,904","$2,526,904",$0,"$5,364,184",47.11%,"$2,837,280"
310100010110,P.S. 110 Florence Nightingale,01M110,"$2,303,206","$2,303,206",$0,100.00%,"$338,081","$680,872","$3,322,159","$3,322,159",$0,"$5,653,174",58.77%,"$2,331,015"
310100010134,P.S. 134 Henrietta Szold,01M134,"$1,584,548","$1,584,548",$0,100.00%,"$338,081","$544,385","$2,467,014","$2,467,014",$0,"$6,063,765",40.68%,"$3,596,751"
310100010140,P.S. 140 Nathan Straus,01M140,"$3,598,546","$3,598,546",$0,100.00%,"$338,081","$1,053,761","$4,990,388","$4,990,388",$0,"$8,808,787",56.65%,"$3,818,399"
310100010142,P.S. 142 Amalia Castro,01M142,"$2,360,491","$2,360,491",$0,100.00%,"$338,081","$816,572","$3,515,144","$3,515,144",$0,"$8,628,638",40.74%,"$5,113,494"
310100010184,P.S. 184M Shuang Wen,01M184,"$5,758,139","$5,758,139",$0,100.00%,"$338,081","$1,683,589","$7,779,809","$7,779,809",$0,"$11,933,628",65.19%,"$4,153,819"
310100010188,P.S. 188 The Island School,01M188,"$4,123,015","$4,123,015",$0,100.00%,"$338,081","$1,161,143","$5,622,240","$5,622,240",$0,"$10,327,650",54.44%,"$4,705,410"
310100011292,Orchard Collegiate Academy,01M292,"$2,995,242","$2,995,242",$0,100.00%,"$338,081","$751,220","$4,084,543","$4,084,543",$0,"$5,987,861",68.21%,"$1,903,317"
310100010315,The East Village Community School,01M315,"$2,953,253","$2,953,253",$0,100.00%,"$338,081","$896,135","$4,187,469","$4,187,469",$0,"$11,634,854",35.99%,"$7,447,385"
310100010332,University Neighborhood Middle School,01M332,"$2,381,930","$2,381,930",$0,100.00%,"$338,081","$641,554","$3,361,565","$3,361,565",$0,"$6,981,409",48.15%,"$3,619,844"
310100010361,The Children's Workshop School,01M361,"$2,126,206","$2,126,206",$0,100.00%,"$338,081","$678,621","$3,142,908","$3,142,908",$0,"$5,368,846",58.54%,"$2,225,939"
310100010363,Neighborhood School,01M363,"$1,862,351","$1,862,351",$0,100.00%,"$338,081","$580,387","$2,780,819","$2,780,819",$0,"$5,275,665",52.71%,"$2,494,846"
310100010364,Earth School,01M364,"$1,448,912","$1,448,912",$0,100.00%,"$338,081","$424,054","$2,211,047","$2,211,047",$0,"$6,522,988",33.90%,"$4,311,941"
310100010378,School for Global Leaders,01M378,"$1,806,916","$1,806,916",$0,100.00%,"$338,081","$506,188","$2,651,185","$2,651,185",$0,"$3,880,332",68.32%,"$1,229,147"
310100011448,University Neighborhood High School,01M448,"$5,055,841","$5,055,841",$0,100.00%,"$338,081","$1,122,031","$6,515,953","$6,515,953",$0,"$9,818,687",66.36%,"$3,302,734"
310100011450,East Side Community School,01M450,"$7,213,890","$7,213,890",$0,100.00%,"$338,081","$2,156,868","$9,708,838","$9,708,838",$0,"$13,015,377",74.60%,"$3,306,539"
310100011458,Forsyth Satellite Academy,01M458,"$1,723,995","$1,723,995",$0,100.00%,"$338,081","$541,469","$2,603,544","$2,603,544",$0,"$3,886,298",66.99%,"$1,282,754"
310100011515,Lower East Side Preparatory High School,01M515,"$5,442,616","$5,442,616",$0,100.00%,"$338,081","$1,362,456","$7,143,153","$7,143,153",$0,"$8,913,807",80.14%,"$1,770,653"
310100011539,"New Explorations into Science, Technology and Math High School",01M539,"$11,906,793","$11,906,793",$0,100.00%,"$338,081","$3,335,558","$15,580,432","$15,580,432",$0,"$19,257,470",80.91%,"$3,677,039"
310100011650,Cascades High School,01M650,"$1,768,562","$1,768,562",$0,100.00%,"$338,081","$558,222","$2,664,866","$2,664,866",$0,"$3,511,387",75.89%,"$846,521"
310100011696,Bard High School Early College,01M696,"$5,659,418","$5,659,418",$0,100.00%,"$338,081","$1,650,795","$7,648,294","$7,648,294",$0,"$8,717,088",87.74%,"$1,068,794"
