School Year,BEDS Code,School Name,District Name,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon PossessionThrough Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive,County,Need/Resource Category,Grade Organization
2008-2009,307500011035,Ps 35,Nyc Special Schools - District 75,Public,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
2008-2009,307500011079,Ps 79 Horan,Nyc Special Schools - District 75,Public,341,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,,,
2008-2009,307500011094,Ps 94,Nyc Special Schools - District 75,Public,207,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11,0,5,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,,,
2008-2009,307500011138,Ps 138,Nyc Special Schools - District 75,Public,419,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
2008-2009,307500011169,Ps 169 Robert F Kennedy,Nyc Special Schools - District 75,Public,235,0,0,0,0,0,1,0,0,0,0,0,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,
2008-2009,307500011226,Ps 226,Nyc Special Schools - District 75,Public,277,0,0,0,0,0,5,0,0,0,0,0,0,0,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,307500011401,Hospital Schools,Nyc Special Schools - District 75,Public,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,307500011721,Ps 721 Manhattan Occupational Training Center,Nyc Special Schools - District 75,Public,252,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,,,
2008-2009,307500011751,Manhattan School For Career Development,Nyc Special Schools - District 75,Public,238,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,4,1,2,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,,,
2008-2009,307500011811,Ps 811 Mickey Mantle,Nyc Special Schools - District 75,Public,336,0,0,0,0,0,3,0,0,0,2,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
2008-2009,307500012010,Ps 10,Nyc Special Schools - District 75,Public,429,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
2008-2009,307500012012,Ps 12 Lewis And Clark School,Nyc Special Schools - District 75,Public,265,0,0,0,0,0,2,0,0,0,2,1,0,0,1,20,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,,,
2008-2009,307500012017,Ps 17,Nyc Special Schools - District 75,Public,357,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,1,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
2008-2009,307500012168,Ps 168,Nyc Special Schools - District 75,Public,360,0,0,0,0,0,2,0,0,0,1,0,0,0,1,6,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,1,,,
2008-2009,307500012176,Ps 176,Nyc Special Schools - District 75,Public,554,0,0,0,0,0,1,0,0,0,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
2008-2009,307500012186,Ps 186 Walter J Damrosch,Nyc Special Schools - District 75,Public,394,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,0,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,5,0,0,,,
2008-2009,307500012188,Ps 188,Nyc Special Schools - District 75,Public,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,307500012352,Vida Bogart School For All Children,Nyc Special Schools - District 75,Public,282,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,,,
2008-2009,307500012721,Ps 721 Steven Mcsweeney,Nyc Special Schools - District 75,Public,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,
2008-2009,307500012723,School 723,Nyc Special Schools - District 75,Public,385,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,
2008-2009,307500012754,Jm Rapport School For Career Development,Nyc Special Schools - District 75,Public,619,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,,,
2008-2009,307500012811,Ps 811,Nyc Special Schools - District 75,Public,625,0,0,0,0,0,6,0,0,0,1,0,0,0,0,7,0,5,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,,,
2008-2009,307500013004,Ps K004,Nyc Special Schools - District 75,Public,308,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,307500013036,Ps K036,Nyc Special Schools - District 75,Public,283,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,
2008-2009,307500013053,Ps K053,Nyc Special Schools - District 75,Public,366,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,,,
2008-2009,307500013077,Ps K077,Nyc Special Schools - District 75,Public,284,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2008-2009,307500013140,Ps K140,Nyc Special Schools - District 75,Public,302,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0,14,0,1,0,0,0,3,0,5,0,1,0,0,8,0,0,0,8,,,
2008-2009,307500013141,Ps K141,Nyc Special Schools - District 75,Public,381,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,,,
